alignment,entity,title,article_date,label_direction,label_credit_relevant,label_signal_type,label_confidence,label_reasoning,ground_truth_outcome,ground_truth_action,ground_truth_days,url
missed,HDFC Ltd,"Standard Life to sell 1 . 78 % stake in HDFC Life Insurance Company for Rs 1 , 404 cr",2019-05-02,0,0,other,high,Standard Life's stake sale in HDFC Life to comply with SEBI minimum public shareholding requirements is a regulatory com,negative,downgrade,15,https://www.firstpost.com/business/standard-life-to-sell-1-78-stake-in-hdfc-life-insurance-company-for-rs-1404-cr-6559381.html
missed,Reliance Capital,"Stocks in the news : Yes Bank , Mphasis , Lupin , PNB , Reliance Capital , Inox Wind",2018-11-28,1,1,asset_quality,medium,Reliance Capital's Q2 standalone profit recovery to Rs 197 crore from Rs 417 crore loss YoY and revenue increase to Rs 9,negative,outlook_negative,82,https://www.moneycontrol.com/news/business/markets/stocks-in-the-news-yes-bank-mphasis-lupin-pnb-reliance-capital-inox-wind-3226061.html
missed,HDFC Ltd,RBI monetary policy : Sensex slumps 100 points as interest,2017-12-06,0,0,other,high,Article discusses stock market movements and trading sentiment ahead of RBI policy announcement; HDFC Ltd is mentioned o,negative,downgrade,43,http://www.firstpost.com/business/rbi-monetary-policy-sensex-slumps-100-points-as-interest-sensitive-stocks-sell-weaker-rupee-dampens-sentiment-4244797.html
missed,Shriram Finance,"Tata Motors , STFC , Can Fin Homes in focus",2020-06-16,1,1,funding,medium,"Shriram Transport Finance's board approval to raise Rs 4,000 crore (Rs 1,500 crore rights issue + Rs 2,500 crore specifi",negative,downgrade,7,https://www.business-standard.com/article/news-cm/tata-motors-stfc-can-fin-homes-in-focus-120061600202_1.html
missed,YES Bank,Yes Bank jumps 4 % as the lender plans to raise funds,2020-01-08,1,1,funding,high,"Bank's announced plan to raise funds through multiple instruments (equity, convertible bonds, debentures) addresses capi",negative,downgrade,43,https://www.moneycontrol.com/news/business/markets/yes-bank-jumps-4-as-the-lender-plans-to-raise-funds-4794831.html
missed,Lakshmi Vilas Bank,Indiabulls Housing Finance - Lakshmi Vilas Bank merger gets CCI nod,2019-06-21,1,1,funding,medium,"CCI approval of Indiabulls-LVB merger signals potential access to low-cost deposits and capital base strengthening, thou",negative,outlook_negative,4,http://www.deccanchronicle.com/business/companies/210619/indiabulls-housing-finance-lakshmi-vilas-bank-merger-gets-cci-nod.html
missed,DHFL,"Zee Ent , Jet Airways , DHFL , RCom : A trading guide for news - driven stocks",2019-04-15,0,0,other,high,"Article is a technical trading guide focused on stock price movements, moving averages, and trading strategies with no i",negative,default,51,https://www.business-standard.com/article/markets/zee-entertainment-jet-airways-dhfl-and-rcom-on-investor-radar-119041500148_1.html
missed,Indiabulls Housing Finance,"Cipla , BSE among 10 overbought stocks with RSI above 70",2023-08-07,0,0,other,high,Article discusses only technical stock price indicators (RSI) and trading momentum; contains no information on debt serv,negative,downgrade,88,https://economictimes.indiatimes.com/markets/stocks/news/cipla-bse-among-10-overbought-stocks-with-rsi-above-70/articleshow/102499567.cms
missed,Can Fin Homes,"Can Fin Homes share price : Buy Can Fin Homes , target Rs 355 : Manav Chopra",2019-03-22,0,0,other,high,"Article contains only financial metrics (revenue, profit, share count), analyst stock recommendation, and management nam",negative,downgrade,45,https://economictimes.indiatimes.com/markets/stocks/recos/buy-can-fin-homes-target-rs-355-manav-chopra/articleshow/68516555.cms
missed,Reliance Capital,Nippon Life Insurance raises stake in Reliance Nippon Asset Management to 54 %,2019-08-21,1,1,liquidity,high,"Reliance Capital's stake sale in RNAM for Rs 1,500 crore and planned complete exit from mutual fund business provides ma",negative,default,30,https://economictimes.indiatimes.com/mf/mf-news/nippon-life-insurance-raises-stake-in-reliance-nippon-asset-management-to-54/articleshow/70770762.cms
missed,YES Bank,YES BANK Bags Data Science Innovation Award,2019-02-07,0,0,other,high,Article describes receipt of a data science innovation award for a customer engagement analytics tool; awards and techno,negative,downgrade,85,https://www.moneycontrol.com/news/business/markets/yes-bank-bags-data-science-innovation-award-3498331.html
missed,Reliance Capital,"Top trading calls by Anand Rathi : Sell Hindalco , Reliance Capital",2018-12-26,0,0,other,high,Article contains only a trading recommendation (sell call) on Reliance Capital stock with no information on debt servici,negative,outlook_negative,54,https://www.business-standard.com/article/markets/top-trading-calls-by-anand-rathi-sell-hindalco-reliance-capital-118122600036_1.html
